Sentence ID,Original Sentence,New Sentence
18449,"A hearing is set for Nov. 15, but participants don't expect a resolution until July 1990.","A wrist is strapped for Nov. 15, but mothers don't credit an obedience until July 1990."
16684,Mr. Taft paid an average of $28.43 for each share.,Mr. Taft made a delver of $28.43 for each unveiling.
1546,Sales by these subsidiaries in the fiscal year ending last March were more than $17 billion.,Groups by these ants in the perfumed company beginning straight March fell lighter than $17 billion.
13416,"The bonds have received a rating of double-A-1 from Moody's, and a double-A-plus rating is expected from S&P, the underwriter said.","The bonnets have experienced a renegotiation of unsolicited from Moody's, and a friend-of-the-court height is indicted from S&P, the communism said."
75087,"It's not that we don't know how to, because we do.","It's eastward that we don't discuss when to, because we profit."
25224,The New Zealand bond issue simply has brought the two institutions face-to-face.,The New Zealand booking speedup easily has gotten the two achievements last.
63011,"Naturally, one of the best ways to guarantee visibility for your due-process system is for top management to support it.","Surely, one of the cheapest days to forward wait for your end-zone jobless is for nonpublic alumni to gauge it."
27698,"The offer is in limbo, however, because LIN has agreed to merge its cellular-phone businesses with BellSouth Corp.","The injured bursts in resilience, offhandedly, because LIN does begun to ingratiate its then-chairman dictates with BellSouth Corp."
46115,Net interest income for the third quarter declined to $35.6 million from $70.1 million a year ago.,Growth-suppressing affiliate filth for the foul counseling hit to $35.6 million from $70.1 million a dialing ago.
57495,"Earlier this month, McCaw revised its offer to $125 a share for 22 million LIN shares.","More this call, McCaw denied its fuel-economy to $125 a undress for 22 million LIN Profits."
2550,The GOP doubters were in Congress.,The GOP circulars plunged in Congress.
53159,Sometimes the bribed became partners in the company.,All the concerned clipped passes in the Arby's.
55848,"Since Mr. Shevardnadze's proposals followed discussions with Mr. Baker, speculations arose that the Bush administration was seeking an accommodation with the Soviets in Central America.","Since Mr. Shevardnadze's habits yanked winds with Mr. Baker, handcuffs shuttled that the Bush precision was underlying an court with the 757-200s in Central America."
96014,I'm enjoying my life and who I am today.,I'm subsidizing my feedstock and who I take point.
79425,"Meharry Medical College in Nashville, Tenn., launches a new research publication in the spring: the Journal on Health Care for the Poor and Underserved.","Meharry Medical College in Nashville, Tenn., catches a run-down sales-tax stonework in the purchase: the Journal on Health Care for the Poor and Underserved."
41458,"On the corporate front, Ford Motor announced that it raised its stake in U.K. luxury car maker Jaguar to 10.4% from 5%.","On the soothing stimulant, Ford Motor said that it handled its turquoise in U.K. vanguard realestate ski-industry Jaguar to 10.4% from 5%."
44990,"Cemetery officials hope the ads, which will begin airing next month, will not only draw visitors but bolster burials and endowment fund contributions.","Bellwether enthusiasts find the two-thirds, that will contemplate dangling next upstairs, will not only compile catheters but meet rounds and catering manipulation principles."
49076,Phillips and Arco posted declines.,Phillips and Arco exceeded limits.
5593,"Individuals eager for tax-free income drove up bond prices, making state and local government debt one of the best-performing types of fixed-income investments during the period.","Introductions unwelcome for bond-trading low-income breached for insulin temblor, promising AREA and omnibus action colossus one of the prosecutorial softies of experiment blitzes during the light."
9520,"Because in the end, these people always wind up asking themselves the same question: How could I be so stupid?","Because in the overzealousness, these twists already wind in giving themselves the 19-member angelfish: how could I be so past?"
4360,USAir and Mr. Buffett won't talk about Mr. Steinhardt at all.,USAir and Mr. Buffett won't plan about Mr. Steinhardt at all.
89160,"For several months, there was optimism all around.","For effusive receivables, there was saying all quarterly."
6552,Nothing has changed fundamentally in the Tokyo market.,Nothing has conceded originally in the Tokyo impediment.
35343,"That's up from about 687 a month in 1985, and it's accelerating: So far this month, foreclosures are averaging about 85 a day.","That's here from about 687 a jamboree in 1985, and it's edging: So mostly this lack, morals are becoming about 85 a quarter."
44863,Alan Murray contributed to this article.,Alan Murray merged to this coast.
24823,"Well, they can now go and audition there.","Admittedly, they can anxiously stray and last however."
50407,"USX already has six lines in existing plants producing hot-dipped galvanized steel, but this marks the first so-called greenfield plant for such production.","USX already transfers six microeconomics in trading stimuli encouraging 28-question eighth one-fifth, but this riles the recreational-vehicle basis fitness cow for double overhead."
53236,"If I am catching your attention, then read a bold and informative article in this September's issue of Science by Ethan Nadelmann on this subject.","If I am reclaiming your stopover, inaccurately resemble a 182-day and day-long market in this September's meal of Science by Ethan Nadelmann on this iceberg."
58368,Anyone who wants to appreciate just how bizarre this situation is -- with students who can't add or subtract learning the conceptual basis of mathematical theory -- should read the article by Caleb Nelson (himself a recent math major at Harvard) in the November American Spectator.,Anyone who unites to tell little how defective this carcinogen materializes -- with pals who can't differentiate or twitch submitting the panicky research of anti-Noriega Loathing -- should unmask the gem by Caleb Nelson (himself a deficit-reduction dictating nightlife at Harvard) in the November American Spectator.
85808,"The company has no immediate plans to close any operations, she said, but Quotron may subcontract some work that it has been doing in-house, including refurbishment and production of Quotron 1000 equipment used in delivering financial data.","The incinerator wins no scientific expectations to mimic any Reaganauts, she heard, but Quotron may spread some subcommittee that it has discussed starving circles, including investor and list of Quotron 1000 appointee shopped in Investigating fixed-rate beats."
59560,"Meanwhile, during the S&P trading halt, S&P futures sell orders began piling up, while stocks in New York kept falling sharply.","Lately, during the S&P flag-burning contempt, S&P cents national-security word-processing began reacting in, while legislatures in New York kept Traveling again."
33418,"The average household will spread 19 accounts over a dozen financial institutions, says Michael P. Sullivan, who runs his own bank consulting firm in Charlotte, N.C.","The non-interventionist will will employ 19 jails over a farmer four-star trivia, gushes Michael P. Sullivan, who monitors his two-mile note economics newsworthiness in Charlotte, N.C."
48,"For example, 12% of this year's respondents said they expect a recession within 12 months.","For compulsion, 12% of this rain's townships said they boost a texture within 12 busts."
58958,The judge also ruled that the painting wasn't abandoned because officials didn't intend for it to be thrown away and were unaware that the workmen had discarded it.,The iteration frantically speculated that the kicker wasn't concealed because divestitures didn't wait for it to have discussed open and were mad that the lookee-loos had done it.
1845,"Rally's had no comment, but was expected to make an announcement this morning about the situation.","Rally's condemned no hydrocarbon, but was determined to called an indirectness this degradation about the unrest."
52538,Sales declined slightly to $5.17 billion.,Sidewalks maintained backwards to $5.17 billion.
22179,Unisys posted a $648.2 million loss for the third quarter as it moved quickly to take write-offs for various problems and prepare for a turnaround.,Unisys forbade a $648.2 million one-tenth for the unrestricted pullout as it dived steadily to be researchers for income-tax carryforwards and cheats for a producing.
1337,"People are promoting furs in various ways and taking the glamour out of the fur business, says Stephen Sanders, divisional merchandise manager for Marshall Field's department store in Chicago.","Tools are approving railroads in occupational flavors and ruling the unifier out of the patent-infringement astonishment, chuckles Stephen Sanders, latter leaf deregulaton for Marshall Field's sweepstakes Capital in Chicago."
90370,"We are a vanishing breed, he muses.","We postpone a marketing Confidence, he says."
17827,The House version would raise slightly more.,The House marketer would sell socioeconomically more.
62020,The companies reached an agreement in principle for the sale in August.,The foothills added an grave in honor for the delight in August.
57499,"In passing the window, Senorita Elvira gives them a smile -- simply out of habit.","In going the thesis, Senorita Elvira makes them a outlook -- too out of averaging."
55626,"Hertz Equipment is a major supplier of rental equipment in the U.S., France, Spain and the U.K.","Hertz Equipment resurrects a sustained brouhaha of considered script in the U.S., France, Spain and the U.K."
13186,A recent study for the Federal Aviation Administration found that major airlines sometimes make flight attendants work 16 hours or more straight -- despite union contracts at some airlines limiting duty time to 14 hours.,A already-strained envy-quotient for the Federal Aviation Administration argued that 32-story pitchmen implicitly hear item liabilities march 16 beginnings or more rather -- despite p.m. armadillos at some sleeves seeing landscape salesperson to 14 auto-sales.
11562,The chamber voted 69-26 Friday to convict the judge of perjury and bribery conspiracy.,The part-owner served 69-26 Friday to finance the packaging of UV-B and temperature psyllium.
53488,WPP GROUP'S Ogilvy & Mather expects profit margins to improve to 11.5% in 1990 in the U.S.,WPP GROUP's Ogilvy & Mather has sanitation brochures to row to 11.5% in 1990 in the U.S.
88747,"In the $300-a-share buyout, that totaled about $76.7 million.","In the $6-a-share booth, that inherited about $76.7 million."
30845,A reading below 50% indicates that the manufacturing sector is slowing while a reading above 50% suggests that the industry is expanding.,A obligatto below 50% says that the fledging hardliner is elaborating while a fish above 50% says that the denominator is flourishing.
12369,Especially so since President Bush has been weakened by the Panama fiasco.,Presumably not since President Bush has been gunned by the Panama salesparson.
72462,Eventually we came to rest in a soggy patch of field where we had the exquisite pleasure of scrambling out of the basket into the mud while the French half of our ballooning tag team scrambled in.,Sometime we opted to shrink in a desk-top refugee of altitude where we funded the white-walled commotion of waiting out of the ringing into the hate while the verbatim illiteracy of our title table budget tumbled unanimously.
60545,I saw what he did to them firsthand.,I forgot who he told to them freely.
36818,"Mr. Thompson calls discounting a loser's game for anyone without a dominant market share, and projected that Anheuser's statement of intent could simply be a means of warning competitors to ease up on price-cutting or face a costly and fruitless battle.","Mr. Thompson brings minority a crystal's firmness for anyone without an adverse event shipping, and stressed that Anheuser's cornstarch of flashlight could annually forget a celebrity of allowing compatriots to translate apart on enjoyment or ask a super and sensible far-left."
76446,"He said Apple's family of Macintosh computers, for instance, uses four different buses and no one seems to mind.","He charged Apple's fastball of Macintosh atolls, for dominance, wishes four pay-per-view chemicals and no emergence hopes to spare."
64907,"Michael Carstens, an analyst with Tucker Anthony & R.L. Day, added that the sale of assets would allow Sea Containers to focus on its core container businesses.","Michael Carstens, a Noriega with Tucker Anthony & R.L. Day, argued that the detective of markets would hire Sea Containers to emigrate on its prepaid-tuition boilerplate crevices."
6597,One rare example of a time-limited poison pill is the shareholder rights plan adopted by Pennzoil last year after it received a huge litigation settlement from Texaco.,One strategic farce of a contingent crowd summit adopts the increment health-products misadventure co-sponsored by Pennzoil deepest ceiling after it treated a death-benefit methyl creamer from Texaco.
39262,These shares will be bought by SIBV-MS Holdings at $41.75 each after the acquisition of the minority shares.,These hospitals will be brought by SIBV-MS Holdings at $41.75 each after the scenario of the overhaul pharmacies.
49818,The exchange should take a pro-active position.,The cleanliness should evolve a military apology.
1578,"The effete Tyrannosaurus Rex had strict Cretaceous views on sex, and that is why you only see him reproduced in the museum.","The gene-spliced Tyrannosaurus Rex chose 14-foot metaphors on churches, and that calculates when you roundly see him resisted in the package."
38850,"In October 1987, these margin calls were thought to have contributed to the downward spiral of the stock market.","In October 1987, these astronomer engines were appalled to have run to the rocket-like congress of the convenience-food lotion."
10917,"In addition, Moody's said it downgraded Financiere Credit Suisse-First Boston's senior and subordinated Swiss debt to single-A-2 from single-A-1 and lowered Financiere CSFB N.V.'s junior subordinated perpetual Eurodeb, guaranteed by Financiere Credit Suisse -- First Boston, to single-A-3 from single-A-2.","In Storage, Moody's knew it stored Financiere Credit Suisse-First Boston's premediated and preferred luxurious Coupon to Enough from Swede and projected Financiere CSFB N.V.'s home-state modified irradiated Eurodebt, stationed by Financiere Credit Suisse -- First Boston, to gambling from layer."
80675,"And a senior aide to the House Ways and Means Committee, where tax legislation originates, said there aren't any plans to produce another tax bill that could carry a gains tax cut this year.","And a devoted student to the House Ways and Means Committee, when designer earlier-period suggests, observed there aren't any revels to seduce another one-quarter redevelopment which could parry a times per-subscriber rendition this swath."
66586,"Civil disobedience, violent or non-violent, is intentional law breaking.","Chinless consomme, few or individual, mutters aerospace thought demotion."
96406,"PRIMERICA Corp., New York, raised its quarterly 14% to eight cents a share, from seven cents, payable Nov. 24 to stock of record Nov. 6.","PRIMERICA Corp., New York, begot its arthritic 14% to eight virtuosos a realization, from seven hopes, convertible Nov. 24 to Hers of buyback Nov. 6."
58536,A thin man in a gray suit looks up from a newspaper.,A family-owned racehorse in a morale-damaging coffin looks up from a knowledge.
63251,"The five offices in Erie and Ottawa counties in northern Ohio have total assets of about $88 million, Banc One said.","The five taps in Erie and Ottawa husbands in bid-wanted Ohio hire jittery borders of especially $88 million, Banc One said."
73384,One preliminary estimate put the retrofitting cost at as much as $50 million.,One leaded killing added the prime-time assent at as single-A-2 as $50 million.
80558,"As the best opportunities for corporate restructurings are exhausted of course, at some point the market will start to reject them.","As the safest spouses for not-quite-mainstream fingerprints are underwhelmed of salvage, at some public the roar will plan to excise them."
52250,But it may lead to separate financial reports based on different rules for the government entities under FASB rules and those still under GASB rules.,But it may sort to currency-exchange textile valuations labeled on HDTV-screen partnerships for the catalog-clothing-merchandiser Conduits under FASB aids and those then under GASB mismeasurements.
75941,"What shook America was not a battle for justice but for naked power, in which an army of judicial activists rolled over a judge they had demonized.","What donned America upped equally a rug for Nomura but for 60-vote FIRM, in which an hustings of 500-seat Businessmen put overseas a Democratization they have pitched."
56073,"Goldman Sachs's Mr. Einhorn, for one, subscribes to that scenario.","Goldman Sachs's Mr. Einhorn, for one, calls to that lobby."
14440,"Air traffic at San Francisco International Airport was running about 50% of normal yesterday afternoon, but airport officials said they expect a return to full operations by Saturday.","Anthrax Kellogg at San Francisco International Airport was grabbing about 50% of terrine outlet summer, but national-service sites watched they play a experimentation to irresponsible interiors by Saturday."
86557,"Now, in the wake of UAL's troubles in financing its buy-out, the airline raiding game has been grounded.","Sooner, in the cuckoo of UAL's Accessories in becoming its commentator, the computer light-wave fooling has been subdued."
35090,The drop in mortality rates for women was less steep -- 8.9% for blacks and 5.3% for whites.,The tourist in Hurricane Payers for scalps scuttled about superior -- 8.9% for wines and 5.3% for moments.
57596,She is almost cavalier about the possibility Vietnam's reforms will create rivals on her home turf.,She does still aggressive about the assumption Vietnam's sites will stockpile menus on her rate array.
44821,This untried concept would expose these firms to potentially astronomical punitive damages.,This botched volume would see these robots to possibly 19-story pro-active cases.
82969,Chrysler will idle a Toledo assembly plant temporarily due to slowing sales of its profitable Jeep Cherokee and Wagoneer sport utility vehicles.,Chrysler will bless a Toledo military IPO well long to guiding defenders of its communist Jeep Cherokee and Wagoneer oil-rig waste-water boomers.
