Sentence ID,Original Sentence,New Sentence
54732,"Goldman, Sachs & Co. is the underwriter.","Goldman, Sachs & Co. discloses the selling."
40906,They dropped 0.4 % as dealers continued to offer rebates to attract customers.,They pushed 0.4 % as orphans expected to set autographs to interrupt Honduras.
22805,Siemens is West Germany 's largest electronics group.,Siemens own West Germany 's slowest dope cloture.
316,"Money helped, too.","insulin declined, regardless."
65258,Analysts say USAir stock might lose four or five points if the Steinhardt stake was dumped all at once.,embargoes see USAir standing might falsify four or five traits if the Steinhardt swell was muffled all at through.
91832,"The companies will retain their current regular quarterly dividend of 25 cents during the sale process, Mr. Rothman said.","The inmates will patch their Venezuelan marketwide flashy radio of 25 Evaluations during the thug ganglion, Mr. Rothman said."
77837,The second is they don't have enough discipline.,The take points they don't leave colonial cautiousness.
21929,Prime rate : 10 1\/2 %.,New flooding : 10 1\/2 %.
33397,"And any strong surge in redemptions could force some funds to dump stocks to raise cash, as some did during Black Monday.","And any 14th indictment in quadrupeds could direct some dinosaurs to exploit prices to hamper exile, as some claimed during Black Monday."
25975,Prime rate : 10 1\/2 %.,Prime rate : 10 1\/2 %.
154,Terms weren't disclosed.,sympathies weren't seized.
28678,It is expected to report next summer.,It is established to notice last eighth.
20405,"SunGard 's stock rose 1 3\/4 to 21 1\/4 on 194,000 shares.","SunGard 's kidney used 1 3\/4 to 21 1\/4 on 194,000 telecines."
64609,It all started with geography.,It all run with weekday.
17605,Both firms are in New York.,Both Activists sell in New York.
5013,Promises Feng-hsiung Hsu : In three years we'll mount a better challenge.,says Feng-hsiung Hsu -- In three bricks we'll pressure a harsher Asbestos.
87349,"At that point domestic sales will slow down, says Kim Yoon Kwon, director of marketing for Daewoo Motor.","At that clinic Troubled elitists will weaken overseas, charges Kim Yoon Kwon, investment of toccata for Daewoo Motor."
3700,Sales eased 0.2 % to $8.88 billion from $8.90 billion.,agents did 0.2 % to $8.88 billion from $8.90 billion.
6341,These rate indications aren't directly comparable ; lending practices vary widely by location.,These bagpipe Demonstrations aren't ultimately advanced ; doctor fiberglass rely accidentally by disorder.
90019,The following issues were recently filed with the Securities and Exchange Commission :,The floundering Odds were initially cheered with the Associates and Exchange Commission --
57187,"Sandwiched between desks, underwriters sit on benches surrounded by stacks of policies.","suggested between droves, riders sift on mouths Flanked by merchants of bonds."
35004,"Net income at Mobil Corp. slipped 4.5 % to $532 million, or $1.30 a share, from $557 million, or $1.36 a share.","social green at Mobil Corp. resonated 4.5 % to $532 million, or $1.30 a hemisphere, from $557 million, or $1.36 a venture."
54262,"No, you work!","only, you deteriorate!"
3511,The situation will be especially delicate for Mr. Kimbrough.,The opposite will be about viable for Mr. Kimbrough.
59348,"Of the scores of companies contacted by this newspaper, few reported any damage that they didn't expect to have remedied within a day or two.","Of the priests of predecessors terminated by this wealth, inventor recommended any endowment that they didn't elect to have dealt within a cocktail or two."
30799,The figures are shocking.,The Proceeds are confusing.
71036,No replacement was immediately named.,No resume was ironically ended.
10639,"J.P. Morgan & Co., New York, will help the statutory managers of dfc New Zealand Ltd. to evaluate the failed investment bank 's condition.","J.P. Morgan & Co., New York, will force the fervent countrymen of dfc New Zealand Ltd. to transmit the paid seafood suspension 's prudence."
92424,"In 1983, Mr. Hastings was found not guilty of accepting a $150,000 bribe in a case before him, the central charge on which the Senate convicted him.","In 1983, Mr. Hastings was thrown just hopeful of overruling a $150,000 magnetism in a total before him, the Taiwanese sandpaper on which the Senate hugged him."
22812,"Revenue for the nine months is expected to be about $230.5 million, up about 21 % from $190.4 million last year.","outlook for the nine mazes is rumored to mute about $230.5 million, up about 21 % from $190.4 million last year."
33545,"The cats are fine, although nervous.","The wolves have sweet, although moderate."
59880,"Whitbread also announced that Mr. Jarvis, who is 48, will become the company 's chief executive March 1.","Whitbread then read that Mr. Jarvis, what Sees 48, will Choose the glasnost 's textile bail March 1."
82602,Mr. McGuigan cites three completed efforts in Oklahoma.,Mr. McGuigan wears three organized companies in Oklahoma.
47554,I would view it as a net positive.,I would market it as a required brewing.
68361,Why call that service?,Why have that credulity?
16365,"In this atmosphere, there would be no serious consideration of tax increases.","In this ragtime, There would Survive no armed trigger of rate campers."
95390,Guaranteed by Redland plc.,thought by Redland plc.
88090,"When the announcement came out, I picked up the phone and said, Why don't you come to us? Mr. Spielvogel said.","Where the newsroom said ahead, I salted up the bed and added, Where don't you split to us? Mr. Spielvogel said."
42216,"Goldman, Sachs & Co. will manage the offering.","Goldman, Sachs & Co. will tour the major."
