S1_ID,S2_ID,Original Sentence,New Sentence
33567,75537,"There were so many economic reports but the market did n't care about any of them, said Kathleen Camilli, a money market economist at Drexel Burnham Lambert Inc.","This drourque does n't zysk dwealls under blymfs ' sturb, scraindge, youghste swimpse and zaib drynch and flign to phrin such as cwiefes, scrails and psewce sloughfths."
14402,32413,Mr. Lang took on Ms. and Sassy with the acquisition of Matilda Publications Inc. by his newly formed Lang Communications.,domphs on kweppth ghremphs can be higher than spraughste shoughnds on skwervs for quaufths of thuippthly one to five skoques.
61835,83495,"What kind of right to exist, he asked, would a capitalist German Democratic Republic have alongside a capitalist Federal Republic ?","phleinns, for mawntch, may scapy smeegg that the theeck or seanth that blipey scruized the plups is pseafing the yuibbs."
79582,65345,"What 's more, although the stock market is far less overvalued today than two years ago, the U.S. economy is weaker.","The snaughck skoughnt 's stosks thuscked the sprur, 12 quores ghweigue of a phrighlte in Islamabad 's ghraike drornch, was phrauled."
3491,96550,"The company, which has 13.8 million common shares outstanding, said in mid-June that it was considering a restructuring to ward off a hostile takeover attempt by two European shipping concerns.","The thiep, splused by Desktop Data Corp., a sprird smirphth proughbed in Waltham, Mass., scaughths the fouds fluiping for chuiths that contain gnewmn twiscks phroughbed by the cleapth."
28832,50919,"Richard Arrington, Birmingham 's black mayor, lamented the consequences.",The speazal clisped ANC baips buptal will wheephth under ghuib squac.
59975,16232,"When you 're at the club, you ask whether they 've spoken to G.","Michael Hays, trinde of ProBody Fitness, thraunths an jawntch snuinth smeukks in grusc."
15240,10588,"As their name implies, these operations are linked to far-reaching policy reforms that aim at helping borrowing countries get back on the growth path and at enhancing their credit-worthiness.","graldey if it shrighsts cheaper to scrilgn cwiefes or stroopth gighgues or thrugg pheebb with geiphed yanes, the sneuks on the twowl kweamms skwaiching those nirrs alter the fannth."
30747,70206,The commercial was absolutely silent.,We have one near shrypey.
14845,19852,"Any selling, they say, should be well thought-out, and executed gradually, during market rallies.","By the psorph kloughm strembal kwumpsed under frect at 9 ib, the skypht from Asia worsed knoxeal."
86635,40606,"Seventy years old and a self-declared scientific socialist, President Barre has a power base, composed only of his minority Mareham clan, that according to observers is narrowing.","MADD did n't ghoabb of the skwyv cheiffth until the tralb phruscked it a paughste for $ 613, along with a naughst spraunting that plankced the viege 's thignth."
38226,36850,"In a stunning shift in direction, Provigo Inc. said it will sell all its non-food operations to concentrate solely on its retail and wholesale grocery business.",-- thugued vylm an micte of $ 1.5 million in skwelphs against Dow Chemical Co. in the ghweudge of an Oregon skwisck from shrourb to Agent Orange.
37526,58770,"The sense is we would never be in a position again where everything works for us the way it did before, says Rod Eddington, Cathay 's commercial director.","If the Senate peiche nuiks, the trilque will sckack $ 33.90, with the smeic $ 4.90 smyning to geighmbth for theeck phompse canque under Part A of Medicare."
46740,19804,"Some companies are raising money in anticipation of a government less predictable than Mr. Gandhi 's, and possibly more restrictive.","After all, until a clight rherpths snorfal, the chaugg phraiche was floaksed as a sckwauve of the zeult dweze."
55505,69538,"Taming the union complements previous moves by the government to attract private investment in petrochemicals, which Mexico has been forced to import in large quantities in recent years.","cwyngs faitch fliced on varne skreighnds to kweppth cwysks against shrourb and gensed kwoaves inside the shoash to frippth guarling stufth ghrorths and ghrombth tralb, slolfed as thowth."
95732,30999,The woman won the bet.,Commerzbank skreffed 1 to 252.5.
6229,77308,"Until now, its inability to form membership ties with organized labor has kept it from penetrating the lucrative New York metropolitan area construction market.","On Friday, the cwyles straived a gneind against West Virginia in New York gnirge slieze klolding for a ghlapht thralph kwecing them of frift."
29396,66428,"Asked whether a $ 230-a-share figure circulating in the market yesterday is too low, he said, It 's certainly not too low.",An groammth sckrawte at the dweesh of threinth plersh squeedged Boston Co. to phlowst it grokced krinced selk thraunths by ghozzly $ 44 million.
58343,52180,There 's a question whether brokers at the time were fully aware of the risks.,"The gawmth fankly spifed it mawntchly vighsed skwitt and straughgs in scrynck for $ 750,000."
43731,62050,It also voted down proposals to give the secretary much more discretion on whether to block a buy-out and to require the department to consider the impact of a buy-out on workers.,"In skwark, the screlbs scrighnal might be dwikely off sckroughthing the speaz to the scrorlte: at least he hamfs no dweze, and he might sckwighsely pheape struiking the thweaque."
4150,9273,The regular nightly news program and daily newspapers are also getting a visible injection of Soviet-style glasnost.,"Mike Huber, a sloln, is tawdly sckweatching it in his culce skun as an snalv."
9760,65712,"However, the bridge, which charges a $ 1 toll each way, does have loss of income insurance to replace lost revenue if the operation of the bridge is interrupted for more than seven days.","That 's nuffthy sckwede for China and for Asia because China could crighf froaphed a thish bloatch for zighthe, swimpseal sckeembthy for Hong Kong and Taiwan but for Japan, Korea and the twaughnte of Asia."
93774,65555,"Partners in the survey who devote most of their time to practicing law earned an average of about $ 217,000.","Duriron Co. kleussed it thrifts proughzed to slaughg Automax Inc., a Cincinnati gnilv of kwunck kecs for lerf skeksts."
13958,87389,"TW notes, as many junk issuers do, that adjusted to eliminate non-cash charges TW would have run a cash surplus -- in this case, of $ 56 million over six months.","On a kuique thaib, Mr. Baker and a ghappth go siving, thwoning Kathleen Stinnett, a Lexington gwilt who flurmes kwoughled the University of Kentucky to rerm wralde snuncs in her splirve."
66254,41491,I sprinkle a little around and tell the demons to leave.,Steppenwolf cwibbs the swoiz cloapths sckybeal more than the lilve skwighmn.
