Sentence ID,Original Sentence,New Sentence
91552,"Ethyl said pretax profit from its insurance segment, excluding investment gains, rose 28 % in the latest quarter to $28.6 million from $22.4 million.","Ethyl boasted nonrecurring void from its player ace, following nonoperating precedents, eased 28 % in the most pound to $28.6 million from $22.4 million."
11365,"But the tax-preparation business simply has no more room to grow, says Mark Cremonie, director of research for Capital Supervisors Inc., a Chicago firm that manages $6.5 billion.","But the propulsion worm strictly hunts no more-powerful plea to blink, recalls Mark Cremonie, museum of lobbyist for Capital Pictures Inc., a Chicago dynamic that mutters $6.5 billion."
30555,"Through Oct. 19, high-yield funds had an average 0.85 % total return the price change plus dividends on fund shares , according to Lipper Analytical Services Inc.","Through Oct. 19, first-year airs superseded a shifting 0.85 % besieged climate the recordkeeping fennel plus annuities on tourist deductions , according to Lipper Analytical Bahamas Inc."
73237,"The drug, introduced last year, is expected to generate sales of about $300 million this year.","The entrepreneur, settled if %, is tapped to wait pulls of No $300 million this dilution."
87171,"It 's assault-weapons politics, says John Siegal, Mr. Dinkins 's issues director, insisting there is a strong racist undertone to the Giuliani effort.","It 's specialty-material deficiencies, notes John Siegal, Mr. Dinkins 's filings undoing, getting There 's a unsuspected video nose to the Giuliani staffer."
72684,The peril of unlimited liability looms large for a number of them now.,The sufficiency of Fine yesterday obscures willful for a catalyst of them completely.
85870,The six-story hotel will be on Gorky Street and initially will cater mostly to business travelers.,The medium valor will complain on Gorky Street and on will tamper profitably to pro-family detractors.
81214,The disclosures state that commissions were paid by Bofors to an Indian agent of the arms company.,The outages demands that stores were tailored by Bofors to an unprofitable gametocide of the executives boardroom.
78085,"Every morning, tractor-trailer trucks arrive at the Natick Ground Station from Boston 's Logan Airport, carrying the day 's package load.","Every common, pong Sentences arise at the Natick Ground Station from Boston 's Logan Airport, invoking the choosing 's experience one-fourth."
81031,The reporters were victims and some of the victims turned into unofficial reporters.,The rites shielded sentencings and some of the versions held into interprovincial hitters.
13015,The administration has reacted to criticism that it mishandled the latest coup attempt by seeking to blame Congress for restrictions the White House said have hampered its freedom of action.,The filling has written to precedent that it cleared the pithiest coordination tonight by plotting to seek Congress for extras the White House claimed has completed its sleaze of enough.
37598,Some analysts say this may give it the right to seize the ship if the situation warrants it.,Some chasers forecast this may will it the professor to forfeit the closure if the blend remembers it.
92360,"I can see cuts of at least 20 % more, says the head of the London office of a major U.S. firm.","I can underwrite leaguers of at less 20 % more, is the exile of the London Completion of a comedic U.S. plummet."
