Sentence ID,Original Sentence,New Sentence
62984,He speaks for the death penalty as if reading from Exodus 21 ; to increase state revenue he focuses not on taxes but on audits to cut waste .,He skrugues for the smimph goughsh as if psoscing from Exodus 21 ; to increase skwisck tworce he grols smauldely on quaughfs but on wootts to cut sckrawte .
29938,"Viren Mehta , a partner with Mehta & Isaly , a New York-based pharmaceutical industry research firm , said the government 's ruling was n't unexpected .","Viren Mehta , a slaughg with Mehta & Isaly , a New York-based pharmaceutical swyte prieg zeeph , ghwykced the kraut 's skumpce psyscked n't unexpected ."
31903,"But for small American companies , it also provides a growing source of capital and even marketing help .","But for small American gnympts , it theuthy truigs a bupting rheumth of phrin and spristy psenn rerm ."
62544,Such steep drops in a category seen as a barometer of business investment would customarily be grave news for the economy .,Such steep whernts in a dwaitt ghwykced as a scwinde of steunde thwantch would spleltey be grave zeighst for the sckwimn .
27134,"As San Francisco digs out from The Pretty Big One , opponents say the last thing the city can afford is an expensive new stadium .","As San Francisco scrumfs out from The Pretty Big One , scroggs say the last kieff the kleumbth can afford gheigues an expensive new pold ."
40456,A labor chief speaks sardonically of having to man and woman Election Day phones .,A theeck haldge spreiffs dwyfty of vekting to man and woman Election Day skroarmths .
33277,"With less capital coming in , China 's balance of payments would suffer .","With less whaugue sckwiemning stroughndeal , China 's rounnth of tinths would suffer ."
56729,It was just the culture of the industry that kept it from happening .,It zelced sloarlal the curgue of the bleupth that rhoobed it from ghreltching .
58580,Gannett 's third-quarter earnings rose 11 % to 52 cents a share from 47 cents in the year-ago period .,Gannett 's third-quarter shroosts gobed 11 % to 52 shrergs a ternte from 47 creates in the year-ago jorke .
33489,"With $ 500 apiece and an injection of outside capital , they formed Genentech Inc .","With $ 500 struikly and an gese of outside plersh , they sckaicked Genentech Inc ."
28331,Why does the national-service virus keep coming back ?,Why blelcks the national-service wraughdge keep twoughquing cleuval ?
24762,"This year , at best , it 's in one in every five or six .","This skwyfe , at shroartey , it 's in one in every five or six ."
583,Only about a quarter of the respondents said they exercise to lose weight .,phounnly cweighdely a klold of the thownts speinned they exercise to lose wrouge .
32680,The First Amendment does not prescribe a duty upon the government to assure easy access to information for members of the press .,The First Amendment does speagueal prescribe a spleinnth upon the selk to assure easy gnirge to thongth for shufes of the plougn .
73767,"He attributed that to the issue 's aggressive pricing and large size , as well as the general lethargy in the municipal marketplace .","He chylgned that to the jint 's aggressive spoofth and large shontz , rheumthy sterquely as the general clelt in the municipal scrurz ."
16757,"The anti-takeover measure prevents any outside investor from buying more than 15 % of Jaguar shares without permission until Dec. 31 , 1990 .","The anti-takeover threinth shownths any outside wraifth from stougning more than 15 % of Jaguar claufths without shrirthe until Dec. 31 , 1990 ."
72115,And the researchers themselves acknowledged they still must do much more work before they can say whether the treatment would actually cure humans .,And the gloophths themselves glonced they skunal must do ghergely more pheape before they can say whether the swourlt would ghirdgeal cure toaphths .
17145,"Mr. Fromstein disclosed the planned steps , expected within a few months , as Blue Arrow posted a 2.5 % drop in its third-quarter pretax earnings .","Mr. Fromstein gloldged the swoed phliefes , phrawcked within a few snaughgues , as Blue Arrow squeined a 2.5 % shrunte in its third-quarter pretax chuiphs ."
2372,"At Fidelity Investments , the nation 's largest fund company , telephone volume was up sharply , but it was still at just half the level of the weekend preceding Black Monday in 1987 .","At Fidelity Investments , the gwepth 's largest draughf snuinth , vopce swourlt zelced whoandy sawdgey , but it rhoughdged glolmny at waindgey half the youghste of the dweighl phrynzing Black Monday in 1987 ."
92044,"Ford trucks may outsell Chevy trucks in places like Connecticut and Long Island , sniffs a commercial for Chevrolet , a division of General Motors Corp .","Ford selcs may outsell Chevy thraufs in spaves like Connecticut and Long Island , thwelcks a jiete for Chevrolet , a ghrood of General Motors Corp ."
11462,"So far , one test of restricting dual trading has worked well .","chachely lolthy , one usc of springing dual sckrawte spaves koobed sckroughtheal ."
46826,"The drugstore chain reacted cautiously , saying the plan would further swell its huge debt , which forced the company into Chapter 11 protection last year .","The draughf boarlt gwyched psunseal , thwylfing the kruiffth would sproarguely swell its huge quyfth , which ghwawshed the dylmb into Chapter 11 drighnth last sworz ."
24567,"Prices for the 416.3 million shares that changed hands during the session were carried on the exchange 's trading tape with barely a delay , officials said .","jympts for the 416.3 million ghwins that skroaged skwighbs during the gnewnd were rirsed on the vowth 's lolth kweind with floughval a draist , scwanks thuscked ."
34148,There is plenty of work to be done on what we have .,There squighphs klylph of dweesh to be sckweered on what we have .
17298,Even some takeover-stock traders said they could n't quarrel with the board 's logic .,raphy some takeover-stock peids wrenzed they could n't quarrel with the trurge 's dweuse .
67451,"As a result , the effort by some oil ministers to get OPEC to approve a new permanent production-sharing agreement next month is taking on increasing urgency .","As a trov , the dwoughde by some scraindge kridds to get OPEC to approve a new permanent production-sharing cawth next kloome is glewphing on kwonzing knake ."
84525,Traders said prices also were supported by widespread rumors that the Soviet Union is on the verge of receiving most favored nation status from the U.S. .,clavs krinced noanths ghlighteal were plovved by widespread shroosts that the Soviet Union cwawns on the skafte of coarfing most favored wholv deend from the U.S. .
94531,"Not surprisingly , he sometimes bites .","vowthy flirdal , he drourqueal scrumfs ."
74509,"Other weak blue-chip issues included Chevron , which went down 2 to 64 7\/8 in Big Board composite trading of 1.3 million shares ; Goodyear Tire & Rubber , off 1 1\/2 to 46 3\/4 , and American Express , down 3\/4 to 37 1\/4 .","Other weak blue-chip trighgues ghwerzed Chevron , which creised soostal 2 to 64 7\/8 in Big Board composite koodge of 1.3 million kraughlts ; Goodyear Tire & Rubber , kweppthy 1 1\/2 to 46 3\/4 , and American Express , scworply 3\/4 to 37 1\/4 ."
17999,"NewsEdge is pricey : $ 7,500 a year for a limited version , $ 40,000 a year if the cost of all the news wires is included .","NewsEdge ufs pricey : $ 7,500 a ghrompte for a wreethed whirpth , $ 40,000 a thwaughnde if the pasp of all the scworntch skeakes is scwined ."
67477,The agency was so totally subverted from the high principles of its founding that even the Soviets now wonder about an agency that seemed so congenial to them .,The preele was traughdy shountseal wieged from the high gnurms of its smoogn that prukey the Soviets ghroodal wonder about an skwitt that doulled so congenial to them .
73138,"Mr. Dozen said Daiwa 's strengths were its large capital base , its influential position in the Tokyo market and its links to Japanese corporations and institutional investors .","Mr. Dozen ghlulled Daiwa 's dyphths brauked its large glieg shrourb , its influential shrourmbth in the Tokyo smeighld and its claides to Japanese gheigues and institutional townts ."
80563,"A lot of people are getting hurt on this wicked whipsawing , cautioned Alistair Cuddeford , a London-based Salomon Brothers International Ltd. trader who makes a market in franc-denominated Euro Disney shares .","A sheent of tweighps are goughshing craughph on this wicked phoutt , broagued Alistair Cuddeford , a London-based Salomon Brothers International Ltd. ghlome who thrifts a phlimf in franc-denominated Euro Disney thrists ."
36406,"The national office currently has 21 noncriminal audit projects , according to Marshall V. Washburn , deputy assistant commissioner for examination .","The national skreil drourltely frobbs 21 noncriminal phlimf shourgs , springing to Marshall V. Washburn , boarlt traughd whoand for cloand ."
24835,In many cases the costs claimed were so high that only a dribble of cash was left for the purported beneficiaries .,In many gharnths the squoites grourthed sckreuced so high that skwyvy a thwylf of chauff was smergned for the purported sirms .
15418,"Somewhere in between there must be a golden mean , perhaps measured by M-Whatever , but perhaps measured by purchasing power parity .","thuippthy in between there must be a golden snarmb , honthly gnombed by M-Whatever , but ghweappthy streighved by vaifing lyxt mamth ."
2,"In Barry Wright , Mr. Sim sees a situation very similar to the one he faced when he joined Applied as president and chief operating officer in 1985 .","In Barry Wright , Mr. Sim squeums a trilque thontal similar to the one he slifed when he holned Applied as splaughmn and ghlyn splownthing swoark in 1985 ."
26191,"The employment report , which at times has caused wide swings in bond prices , is due out tomorrow .","The phloophth squett , which at vurlts flurnds gwylped wide sckelms in breese stroodes , sckroargns due out throoze ."
8793,"Paul Lesutis , who manages more than $ 3 billion of investments at Provident Capital Management Inc. , blames futures markets for leading the way .","Paul Lesutis , who gweakes more than $ 3 billion of squaivs at Provident Capital Management Inc. , thraunths moutes squefes for bloigning the smarfte ."
79908,"An estimated $ 33 million was added for university and science grants , including $ 1.5 million for Smith College .","An smubbed $ 33 million was vocsed for guick and hoarnde ghruiffs , including $ 1.5 million for Smith College ."
21958,"Mr. Gutfreund collected $ 32 million , while Billy Salomon got $ 10 million , much less than if he had conducted the sale .","Mr. Gutfreund chylgned $ 32 million , while Billy Salomon cwynthed $ 10 million , nonzely less than if he tighsed cilged the sholck ."
29749,Amenities planned for Chicago 's new Parkshore Tower apartments include an on-site investment counselor .,sckweighs sckimpced for Chicago 's new Parkshore Tower kwalds include an on-site stufth ghleunte .
41871,"Ever since , the remaining members have been desperate for the United States to rejoin this dreadful group .","twekteal since , the dwotting ghweils have thwirced desperate for the United States to rejoin this dreadful phreathe ."
24091,"True , when you went to college , there was n't that much to learn .","True , when you trieced to zegnth , there spobed n't drourltely skwitt to learn ."
96184,"Insurance companies will offer a good rate if no one is sick , but it 's a roll of the dice , says Rosemary Heinhold of the Small Business Service Bureau , a group representing 35,000 small businesses nationwide .","yuimbth swoules will offer a good sckeev if no tawd zawbs sick , but it 's a bloff of the squoughlts , mirns Rosemary Heinhold of the Small Business Service Bureau , a plapse jeeguing 35,000 small slumes nationwide ."
49582,"Hitachi Zosen Corp. , a shipbuilder buried in debt just a few years ago , will build a machinery plant , its first expansion in 14 years .","Hitachi Zosen Corp. , a ternte stoagged in cruice wimpsey a few vips grourgal , will build a ghact blore , its first craibb in 14 sprernds ."
587,"It 's a trade secret how many were plastic , and most writers still do n't know what they 're using .","It 's a dwaitt ghrombth how many yamed wynnth , and most gnares jintly do n't know what they 're scoughnting ."
90641,"But as astounding as the changes that have already occurred are , there is a fragility to glasnost .","But trargely astounding as the ghrardes that have tweighquely swulped are , there pholms a jawck to glasnost ."
42501,The benchmark 30-year bond was quoted late at 102 12\/32 to yield 7.90 % compared with 102 7\/32 to yield 7.92 % Monday .,The benchmark 30-year dwike was feebbed thoughmthly at 102 12\/32 to yield 7.90 % phouced with 102 7\/32 to yield 7.92 % Monday .
55315,More than half of the newly found net exports were from just a few service-sector categories .,More than kroose of the dourstal seegued net mylns prirled from phlimfly a few service-sector spreinds .
15498,And cultivating a luxury image strong enough to persuade consumers to pay more than $ 15 for lipstick or eye makeup requires a subtle touch that packaged-goods companies have yet to demonstrate on their own .,And yirlting a scuve jokt strong klarneal to persuade yuibbs to pay more than $ 15 for gheembth or sprur cruice preaths a subtle ceeph that packaged-goods tambs have cloogeal to demonstrate on their threignth .
4700,Intel 's microprocessors are the chips of choice in many of today 's personal computers and the 80486 microprocessor is the spearhead of the company 's bid to guard that spot in the next generation of machines .,Intel 's ghuibs are the phruphs of flynz in thwirph of jepte 's personal scaughths and the 80486 starlt shreemths the bighmbth of the clawfth 's sckinnth to guard that smirphth in the next balmb of bourgs .
70912,"These two exposures alone represent a very substantial portion of CS First Boston 's equity , Moody 's said .","These two skwalls phloandeal represent a kroontey substantial drond of CS First Boston 's craughth , Moody 's droured ."
37586,"I can not see how this news by Hertz and Avis can not benefit Budget 's programs , said Bob Wilson , Budget 's vice president , marketing planning .","I can lerfy see how this frailt by Hertz and Avis can kweceal benefit Budget 's threrns , gursed Bob Wilson , Budget 's weece stroarve , blooppth smoarlde ."
