Sentence ID,Original Sentence,New Sentence
24482,"Such high-yield debt is similar to a zero-coupon bond in that it is sold at a discount to face value , with interest accruing instead of being paid to the holder .","Only orphan candor is miserable to a gun chicanery in that it is unleashed at a convertible to nutrition quadrupling , with devaluation attending instead of being lifted to the hunger ."
79040,"Still , there are several billion dollars of zero-coupon CDs with various maturities outstanding .","Still , there are several billion labels of straight-from-the-shoulder ACCEPTANCES with stock targets off-base ."
29215,Hacksaw and Bonecrusher are the sort of nicknames normally associated with linebackers and heavyweight contenders .,Hacksaw and Bonecrusher simplify the seal of vases even criticized with counterbidders and politicized voices .
66986,"When the price of polyethylene moves a mere penny a pound , Quantum 's annual profit fluctuates by about 85 cents a share , provided no other variables are changing .","when the father-in-law of seller continues a Giant malice a bounce , Quantum 's Private-sector escape exists by admittedly 85 challengers a old , provided no listed masks are signing ."
9982,"The telephone number for the charity in Shelton , Conn. , has been disconnected , and the former officials could n't be located .","The low-tax creativity for the cornstarch in Shelton , Conn. , 's become weighted , and the 68-year-old Teens could n't go reallocated ."
39568,"For instance , Commonwealth BioVentures Inc. , a venture-capital concern , last month invested $ 600,000 to launch Amira Inc. , a Worcester , Mass. , concern that will produce pharmaceuticals .","For protest , Commonwealth BioVentures Inc. , a hyaluronic mankind , last year took $ 600,000 to Open Amira Inc. , a Worcester , Mass. , sprawl whichever will hurt Christians ."
358,Most of those markets had rebounded the day before from Monday 's slide .,longest of those paychecks have surrendered the touching before from Monday 's speedway .
96307,"-LRB- Food manufacturer changes spelling of catsup to ketchup , saying that 's the spelling people now prefer .","-LRB- opportunist instability 's chairman-elect of fancy to butterfly , assuming that 's the speaker expirations thoroughly resist ."
1971,Such animosity could prove pivotal in the union vote .,other evangelist could prove program-related in the management-employee premium .
42227,"In fact , much of the buying in blue chips yesterday was a pursuit of companies with lower debt levels .","In string , shipper of the disposal in opposite wonderbars % outlasted a existence of bylaws with shadier weight ovens ."
90223,"-LRB- Pepperidge Farm says it ca n't tell exactly how many customers it has lost , but it hopes to remove the objectionable tropical oil from all its products by year end . -RRB-","-LRB- Pepperidge Farm seems it ca n't see ago how daunting displays it might raised , but it figures to exaggerate the out-of-court bellwether vet from all its panelists by telecommunications southwest . -RCB-"
92482,"Both Saatchi & Saatchi , which announced its intention to sell off most of its consulting business in June , and Cleveland Consulting declined to comment on the proposed sale .","Both Saatchi & Saatchi , that matched its rebellion na frustrate Up soonest of its subcommittee accompli in June , and Cleveland Consulting asked to say on the ultra-right jealousy ."
50614,This is one of the first bids under new takeover rules aimed at encouraging open bids instead of gradual accumulation of large stakes .,This s one of the 90-cent-an-hour simplicities under Bulgarian cheese piers fired at Combatting former modems instead of soon-to-expire hero of Palestinian mediators .
95606,"The vivid yellow figures showed the best price at 845 pence , -LRB- $ 13.27 -RRB- and Mr. Smith 's traders started putting out feelers .","The upper per-share REMICs cleared the staunchest name-dropping at 845 settling , -LRB- $ 13.27 -RCB- and Mr. Smith 's thermometers started expecting for clearances ."
53728,CBS executives said the program is also slated to undergo some plot changes .,CBS nine-months responded the comfort is about created to contemplate some commercial-credit slabs .
57084,"If all goes well , it will parachute a probe into the dense Jovian atmosphere in July 1995 to pick up detailed data about gases that may be similar to the material from which the solar system was formed 4.6 billion years ago .","If all is sometimes , it will install a globalism into the computer-distributed injured undergirding in July 1995 to roll Up 110-story Clubs about apologists whichever may be Oriental to the gratitude from which the Would-be run was refurbished 4.6 billion bits back ."
61954,"Dictaphone 's picocassette recorder is one of 13 case studies in the TRIAD Design Project , sponsored by the Design Management Institute of Boston and Harvard Business School .","Dictaphone 's lingerie tolerance averages one of 13 real producers in the TRIAD Design Project , recycled by the Design Management Institute of Boston and Harvard Business School ."
26002,"Drexel does n't have a Delaware office , but the New York firm has been negotiating settlements that would allow it to operate freely nationwide despite its record as an admitted felon .","Drexel does n't embarrass a Delaware daily , but the New York month-end have begun liquidating lotions which would pay it to jump tenfold ashore despite its cockiness as an altered function ."
39792,"THANKS TO modern medicine , more couples are growing old together .","distinctions TO journalistic headquarters , greater-fool bursts are blinking twisted on ."
95520,"You 're telling someone they can spend the next three or four or five or six years of their life bringing about the most difficult and costly modernization of an information system on the civil side ever , Mr. Goldberg said .","You 're convincing someone they can justify the private three or four or five or six lathes of their amplifier distributing with the least pyrotechnic and off-again ballooning of an rearrangement modernization on the war-like poverty also , Mr. Goldberg reported ."
510,"Revenue rose only 3.3 % in the latest period , to $ 1.53 billion from $ 1.48 billion .","channel disintegrated as 3.3 page in the surest airport , to $ 1.53 billion from $ 1.48 billion ."
40237,"Stephen N. Wertheimer was named managing director and group head of investment banking in Asia , based in Tokyo .","Stephen N. Wertheimer was like succeeding AGENCY and ballooning turban of torque studiousness in Asia , placed in Tokyo ."
74761,The only securities so far to be singled out are those issued by Bay View Federal Savings & Loan .,The unqualified packages perhaps literally to Get indicted with average those subsidized by Bay View Federal Savings & Loan .
