Sentence ID,Original Sentence,New Sentence
10894,"People are naturally suspicious of them, says Mr. Mullins of Morgan Stanley.","moisturizers are directly high of them, predicts Mr. Mullins of Morgan Stanley."
69546,It also generates pieces of the missile shield called the Strategic Defense Initiative.,It single-handedly delivers transplants of the polyurethane surprise was the Strategic Defense Initiative.
95034,"In New York Stock Exchange composite trading yesterday, Bear Stearns shares closed at $13.625, down 25 cents.","In New York Stock Exchange high-tech minimalist that, Bear Stearns interventionists benefited at $13.625, in 25 savings."
91552,"Ethyl said pretax profit from its insurance segment, excluding investment gains, rose 28 % in the latest quarter to $28.6 million from $22.4 million.","Ethyl boasted nonrecurring void from its player ace, following nonoperating precedents, eased 28 % in the most pound to $28.6 million from $22.4 million."
12567,International Minerals & Chemical Corp. said it agreed definitively to sell its international fragrance business to Bayer ag of West Germany.,International Mergers & Chemical Corp. said it prepared peacefully to trade its price-earnings change gut to Bayer ag of West Germany.
66577,"The range of expectations is so broad, a dealer at another major U.K. brokerage firm said, the deficit may have to be nearer or above # 2 billion for it to have any impact on the market.","The spy-in-training of innovations runs so productive, a doctoring at another business-like U.K. demonstration say wrote, the paperwork may hope to develop nearer or above # 2 billion for it to outflank any loyalty on the negative."
65652,"The action followed by one day an Intelogic announcement that it will retain an investment banker to explore alternatives to maximize shareholder value, including the possible sale of the company.","The inmate flew by one Vote an Intelogic guarantee that it will withdraw a % officer to bedevil accomplishments to lag heavy-construction mom, including the Market-based path of the dynasty."
22115,"Volume was extremely thin at 351.3 million shares, the lightest volume of the week and modestly under Thursday 's 387.4 million shares.","transportation said slightly high at 351.3 million decision-makers, the lastest disturbance of the bequest and right quickly Thursday 's 387.4 million moneymakers."
54732,"Goldman, Sachs & Co. is the underwriter.","Goldman, Sachs & Co. discloses the selling."
86665,"In percentage terms, however, the Dow 's dive was the 12th-worst ever and the sharpest since the market fell 156.83, or 8 %, a week after Black Monday.","In evidence shutdowns, thankfully, the Dow 's impatience developed the dictum however and the largest since the diploma unraveled 156.83, or 8 %, a rapprochement after Black Monday."
40906,They dropped 0.4 % as dealers continued to offer rebates to attract customers.,They pushed 0.4 % as orphans expected to set autographs to interrupt Honduras.
22805,Siemens is West Germany 's largest electronics group.,Siemens own West Germany 's slowest dope cloture.
84492,They are still trying to lure back small investors spooked by the 1987 stock-market crash and the market 's swings since then.,They are individually about to appraise blindly acceptable cows dogged by the 1987 Pencil company and the deployment 's newsprints since then.
12374,"Sales of Ilford 's four varieties of black-and-white film this year are outpacing growth in the overall market, although the company won't say by exactly how much.","citizens of Ilford 's four tanks of imminent Milk this spelling are inviting rhino in the Heady clearing, although the I-880 won't do by ordinarily how glitch."
71540,"In restaurants in this case, the Russian Samovar, a New York restaurant operated by and for Soviet emigres , she didn't want the chirpy, folkish music bouncing through the room.","In catalogs in this winner, the Russian Samovar, a New York wiretap fragmented by and for long-established geeks , she didn't program the secured, dyed-in-the-wool consomme following through the runup."
9252,The results include record quarterly earnings of $76 million from Chrysler Financial Corp.,The fireplaces predict\/advocate princely hands-on corporations of $76 million from Chrysler Financial Corp.
89853,"Outflows since the close of trading Friday remain below one-third their level of two years ago, Fidelity said.","ground-handling since the pre-eminence of single-B-2 Friday spend below state their monohull of two kidnappers earlier, Fidelity complained."
70352,"The company said its integrated steel sector was also hurt by higher raw material, repair and maintenance, and labor costs.","The spice realized its found Home class was home fascinated by taller seventh computer-maintenance, conservation and lunchtime, and bull hoses."
53345,Eavesdropping by individuals is harder to measure.,mind-set by sages is harder to improve.
6350,"Rep. Don Edwards, the California Democrat, warned Mr. Allen that the speech would be outside the scope of the commission 's jurisdiction.","Rep. Don Edwards, the California Democrat, notified Mr. Allen that the cleanup would co-exist outside the eye-blink of the ray 's wiretap."
11365,"But the tax-preparation business simply has no more room to grow, says Mark Cremonie, director of research for Capital Supervisors Inc., a Chicago firm that manages $6.5 billion.","But the propulsion worm strictly hunts no more-powerful plea to blink, recalls Mark Cremonie, museum of lobbyist for Capital Pictures Inc., a Chicago dynamic that mutters $6.5 billion."
30555,"Through Oct. 19, high-yield funds had an average 0.85 % total return the price change plus dividends on fund shares , according to Lipper Analytical Services Inc.","Through Oct. 19, first-year airs superseded a shifting 0.85 % besieged climate the recordkeeping fennel plus annuities on tourist deductions , according to Lipper Analytical Bahamas Inc."
2239,"Still, flat-rolled is the steel industry 's bread and butter, representing about half of the 80 million tons of steel expected to be shipped this year.","afterwards, commonality fills the cable-tv-system example 's scorekeeping and Food, obsoleting about ward of the 80 million dancers of right considered to be embarrassed this refund."
54721,"Joseph Hardiman, president of the National Association of Securities Dealers, which oversees trading on Nasdaq, agrees that program trading is hurting the market 's efforts to bring back small investors.","Joseph Hardiman, privilege of the National Association of Worlds IRAs, that heads novelty on Nasdaq, stresses that Pound mid-July is embracing the defense 's returns to take otherwise non-Communist bleachers."
30142,Wa is Japanese for team spirit and Japanese ballplayers have miles and miles of it.,Wa continues Japanese for publishing actress and tear-jerking plants perpetuate automobiles and horrors of it.
84067,Both Unocal and Burlington had been seen as potential targets for a British Petroleum bid.,Both Unocal and Burlington have gotten Slated as domestic-demand videotapes for a British Petroleum third.
32631,"Michael R. Bromwich, a member since January 1987 of the three-lawyer trial team in the prosecution of Oliver North, became a partner in the Washington, D.C., office of the 520-lawyer firm.","Michael R. Bromwich, a trauma since January 1987 of the amateur ticket acupuncturist in the reprieve of Oliver North, notched a company in the Washington, D.C., oilfield of the incorrect Keystone."
15820,"So there is reason to believe that Michael 's hopes for a bacteria-free, long-shelf-life egg weren't all hype.","So there 's defensive to see that Michael 's cubs for a iambic, court-ordered Government movedn't all riff."
43032,They said the sale is expected to be concluded by the end of November.,They charged the insert is modified to be reoriented by the Dedication of November.
38654,"In an efficient setup, the same pc could perform all those tasks.","In a paid baseline, the ill-mannered pc could deflate all those Oncogenes."
94729,"Of the 1,300 chemists registered for the society 's weeklong meeting, fewer than 200 sat through the day and a half of cold fusion presentations at week 's end.","Of the 1,300 variables asked for the omission 's loss scalp, further than 200 read through the jet and a espousal of capable rabbit bystanders at lobbying 's taste."
