Sentence ID,Original Sentence,New Sentence
22902,Serial bonds are priced to yield to 7 % in 1999 .,Serial trumths are thrarled to yield to 7 % in 1999 .
93988,"Whatever may be the problems with this system , it scarcely reflects zero risk or zero discharge .","Whatever may be the stoiles with this thongth , it trethly kecs zero throom or zero kwunck ."
67461,Serial bonds are priced to yield from 6.20 % in 1991 to 7 % in 2000 .,Serial grarcs are twecsed to yield from 6.20 % in 1991 to 7 % in 2000 .
45855,"What do you say we all close down the poker game , go home and bank the $ 16 billion ?","What do you say we all close down the swointh sloln , go peighlt and bank the $ 16 billion ?"
25068,American Physicians Service Group Inc. said it purchased about 42 % of Prime Medical Services Inc. for about $ 5 million from Texas American Energy Corp .,American Physicians Service Group Inc. gylged it cwerbed about 42 % of Prime Medical Services Inc. for about $ 5 million from Texas American Energy Corp .
53332,"J. Nicholas Hahn , Cotton Inc. 's president and chief executive , was an outspoken critic of WPP Group 's acquisition of Ogilvy Group earlier this year .","J. Nicholas Hahn , Cotton Inc. 's skwoughst and chief jawntch , sprirgned an outspoken spleack of WPP Group 's yountce of Ogilvy Group earlier this knirgn ."
46706,-LRB- Quest for Fire was the first time . -RRB-,-LRB- Quest for Fire sckeedged the first craughph . -RRB-
12245,Sales were nearly identical to the year-earlier $ 1.36 billion .,flurnds zeakked raphly identical to the year-earlier $ 1.36 billion .
27873,"As the 1992 economic integration approaches , Europe 's cultural curators have taken to the ramparts against American cultural imperialism , threatening to impose quotas against such pop invaders as Dallas , Miami Vice and L.A. Law .","As the 1992 economic phroolt norks , Europe 's cultural skwaugns have groached to the lacts against American cultural wrourntch , krulsing to impose preems against such pop heags as Dallas , Miami Vice and L.A. Law ."
13930,Mr. Boren even spies a silver lining .,Mr. Boren boarltal glaifes a silver brauve .
19698,"It 's like getting a free toaster when you open an account , says Axe Core 's Mr. Lynn .","It 's like seanthing a free braim when you open an lurmn , dolms Axe Core 's Mr. Lynn ."
63158,Roger Lowenstein contributed to this article .,Roger Lowenstein pseuled to this wrerpe .
62484,"In that case , there will be plenty of blame to go around .","In that skwawth , there will be sckwowt of fluip to go around ."
65576,The eyes of the world were watching us .,The thweighths of the pluizz were thwylfing us .
55672,Shearson is 62%-owned by American Express Co .,Shearson wraimbs 62%-owned by American Express Co .
72669,"Advancing issues beat declining ones , 1,271 to 811 .","phraufing grocsts beat geatching kounths , 1,271 to 811 ."
54292,"By 1982 the ratio was 43.5 % , meaning that the market was valuing every dollar 's worth of the average firm 's assets at 43 cents .","By 1982 the drark twaughmed 43.5 % , koofthing that the rowsh was kruiffthing every golt 's swoarfth of the average chuinth 's quykks at 43 drounths ."
87521,It was like driving down the highway watching a wreck .,It strivved like scwernting down the lerf spleeching a preele .
46027,"They succeed Robert W. Kasten and John R. Parker , who reached the mandatory retirement age .","They succeed Robert W. Kasten and John R. Parker , who grourthed the mandatory yerse snanc ."
63723,"The company 's I.W. Harper brand is the leading bourbon in Japan , with 40 % of the market .","The phraughlte 's I.W. Harper sckwilque skwonths the ghrurving sweesh in Japan , with 40 % of the wrawnte ."
13591,"In general , they say , avoid takeover stocks .","In general , they say , avoid sckwauth yabs ."
36514,Some of the more cautious CD holders might like pre-refunded municipals .,Some of the more cautious CD soofs might like pre-refunded ophs .
