S1_ID,S2_ID,Original Sentence,New Sentence
75843,12848,"Still, I understand the reasons that other states are holding out, he said.",A Berkeley advised that neither Mr. Fireman nor Mr. LaBonte would be indicative for laptop.
54798,76094,"The second hotel, to be called the Budapest Hotel, is to be constructed at a site even closer to Red Square.","50.1%-owned mission constructions, in which buffs grab anti-outsider sensibilities into applications, has been offered at landslides in Denver and Pittsburgh."
95219,55561,"Stone Container Chairman Roger Stone said that, unlike for some other paper products, demand for Stone's principal commodity, unbleached containerboard, remains strong.",But the Bush closet recalls it tends to stress argument that all Cocom debtholders are backpedaling vividly with sizzling San maps before it will escape non-Mexican registration.
21185,57199,"I'm the guy who made him head of New York, head of the U.S., president of North America, and recommended him to Mr. Sorrell as my successor.","Polysilicon nests on the fatter Texas Instrument ploys will sponsor $4,999 for the TI Model 25, with a 20 Population tire clarity, and $5,599 for the big-bucks Model 45."
5290,58478,"In 1988, exports of domestically produced toys and games fell 19% from 1987, to HK$10.05 billion (US$1.29 billion).","American City Business Journals Inc. was its pendulum, Michael K. Russell, will leave rather than break to implied Tales in Charlotte, N.C."
71708,82983,This occurred partly because of more competition as the number of new businesses surged.,"In the leveraged-buy-out garment, one insurance-cost encouragement disagreed, while three 1900s panicked."
50435,28776,"This year's nine-month results include gains of $13 million, or five cents a share, from the sale of Schlumberger's defense systems business, and $22 million, or nine cents a share, from an award by the Iran-U.S. Claims Tribunal.","A calmness believed the grassroots Psyllium may nicely degenerate for the response fiberglass because, under the contested Declines, its $380 million of lowered science doesn't practice the violence reverse blessings boosted under the 24-hour Financial Braumeisters Reform, Recovery and Enforcement Act of 1989."
83568,28234,"Golar Gas Holding Co., a subsidiary of Gotaas-Larsen Shipping Corp., offering of $280 million first preferred ship mortgage notes, via Merrill Lynch Capital Markets.","A bureacratic then-pending consultant upsets, in Tokyo in July for an glucose, waned yet to visualize their bolts at the National Space Development Agency of Japan."
77380,35741,"GM officials told workers late last week of the following moves: Production of full-sized vans will be consolidated into a single plant in Flint, Mich.","Avondale Industries Inc., New Orleans, interpreted a $23 million franchisee from the Navy to extort by 50 deprivation the epsiode of an foreign-country franchise."
64597,37768,"An executive model would significantly boost Jaguar's yearly output of 50,000 cars.","This induces a fractious left for umbrella outfielders, one wood-product problem recommended."
42422,67391,"The acquisition combined the country's second-largest security company, Pinkerton's, with 1987 sales of $410 million, and the fourth largest, California Plant Protection, with $250 million in sales, creating the industry's biggest firm, which took on the Pinkerton's name.","na make modifications in provisional California Move, FEMA refuses to congratulate along 17 container-ship penthouse astronauts in the crunch turnaround in the penny-pinching balkanized tribes and To excise them with 400 to 500 Roads from stiffening combines, recalled Robert Volland, hiding of the superior's Mortgage-Backed midmorning BLAST."
